roundId,roundName,realInfoHasPrepared,realInfoHasStarted,realInfoHasFinished,realInfoPreparationTime,realInfoHasLasted,status,immatriculation,kmDepart,startLocation,endLocation,startTime,endTime,date,vehiculeId,driver,Date,sourceHubName,maxOrders,maxDuration,maxDistance,costPerUnitTime,weight
5fe9c4ae81e0dde1d67239de,Tournée 40,2021-01-19 14:28:58.370000+00:00,2021-01-19 14:29:45.468000+00:00,2021-01-19 19:27:36.813000+00:00,47098.0,17871345.0,COMPLETED,FC784VY,368.0,RUNGIS APRES MIDI,RUNGIS APRES MIDI,2021-01-19 14:13:48.558000+00:00,2021-01-19 20:15:56.799000+00:00,2021-01-19 00:00:00+00:00,5c863bdbce107038175b7dbd,5a1d4e46624de80f7b727475,2021-01-19,RUNGIS APRES MIDI,32.0,540.0,350.0,10.0,3500.0
5fe9c4b0203a946ec668d3de,Tournée 01,2021-01-05 04:50:02.795000+00:00,2021-01-05 05:04:18.865000+00:00,2021-01-05 12:34:50.933000+00:00,856070.0,27032068.0,COMPLETED,DJ265,70600.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-05 05:23:35.625000+00:00,2021-01-05 11:25:08.897000+00:00,2021-01-05 00:00:00+00:00,5f7dda83ce9da2bb1ab60166,5bc6f497cec454100d317a2c,2021-01-05,RUNGIS MATIN,32.0,10000.0,1000.0,10.0,7000.0
5fe9c75d15b526254ab2a09b,Tournée 16,2021-01-06 03:54:42.814000+00:00,2021-01-06 04:04:35.582000+00:00,2021-01-06 13:20:43.228000+00:00,592768.0,33367646.0,COMPLETED,FC471VY,380.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-06 05:16:01.201000+00:00,2021-01-06 13:17:05.522000+00:00,2021-01-06 00:00:00+00:00,5c863ec4eb514965760016ab,5c866ba6eb5149657601770e,2021-01-06,RUNGIS MATIN,30.0,10000.0,350.0,11.0,3500.0
5fe9c75d819e061cebb9e36d,ERK1,2021-01-13 04:12:40.802000+00:00,2021-01-13 04:13:50.457000+00:00,2021-01-14 02:03:01.976000+00:00,69655.0,78551519.0,COMPLETED,Dj-806-zf,0.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-13 05:34:56+00:00,2021-01-13 17:08:38+00:00,2021-01-13 00:00:00+00:00,5e41309b442d5c39c647c83e,56e97f3c4e6e3d050ca6e527,2021-01-13,RUNGIS MATIN,32.0,10000.0,1000.0,10.0,7000.0
5fe9c75d819e06eb92b9e389,Tournée 02,2021-01-13 04:07:15.836000+00:00,2021-01-13 04:48:03.953000+00:00,2021-01-13 13:32:19.989000+00:00,2448117.0,31456036.0,COMPLETED,EA944ZF,158030.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-13 06:10:44.680000+00:00,2021-01-13 16:22:20.751000+00:00,2021-01-13 00:00:00+00:00,5c8639e7eb51496576ffe1c9,56e97edc4e6e3d050ca6e521,2021-01-13,RUNGIS MATIN,32.0,1000.0,1000.0,10.0,7000.0
5fe9ea39819e06e4d2ba1d41,OPTIMILES 02,2021-01-15 18:41:52.692000+00:00,2021-01-15 19:40:04.428000+00:00,2021-01-16 03:51:18.554000+00:00,3491736.0,29474126.0,COMPLETED,EA062ZF,154612.0,RUNGIS APRES MIDI,RUNGIS APRES MIDI,2021-01-15 18:13:18.119000+00:00,2021-01-16 00:21:55.346000+00:00,2021-01-15 00:00:00+00:00,5c8639b3e132ad38f64db158,5d9210822c500e7c72025e1c,2021-01-15,RUNGIS APRES MIDI,32.0,10000.0,1000.0,10.0,7000.0
5fe9ea3b72467f04cb380787,Tournée 01,2021-01-15 03:46:56.781000+00:00,2021-01-15 04:26:40.066000+00:00,2021-01-16 02:02:17.994000+00:00,2383285.0,77737928.0,COMPLETED,CH957,280000.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-15 05:23:35.625000+00:00,2021-01-15 13:08:04.135000+00:00,2021-01-15 00:00:00+00:00,601ace2c1a519f82f930a3c0,5bc6f497cec454100d317a2c,2021-01-15,RUNGIS MATIN,32.0,1000.0,350.0,10.0,3500.0
5fe9ea3b72467f3a0b38079d,YAC1,2021-01-15 03:56:51.931000+00:00,2021-01-15 04:23:05.920000+00:00,2021-01-15 13:20:11.293000+00:00,1573989.0,32225373.0,COMPLETED,FC611VZ,107.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-15 04:59:59.999000+00:00,2021-01-15 10:57:09.834000+00:00,2021-01-15 00:00:00+00:00,5c863ba9e132ad38f64dc4ec,5cc63b7abe96690ce31ea05f,2021-01-15,RUNGIS MATIN,32.0,540.0,350.0,10.0,3500.0
5fe9ea3b72467fc655380790,Tournée 02,2021-01-15 04:05:00.505000+00:00,2021-01-15 06:39:51.461000+00:00,2021-01-15 13:36:42.169000+00:00,9290956.0,25010708.0,COMPLETED,EA944ZF,158200.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-15 06:22:32+00:00,2021-01-15 11:57:59+00:00,2021-01-15 00:00:00+00:00,5c8639e7eb51496576ffe1c9,56e97edc4e6e3d050ca6e521,2021-01-15,RUNGIS MATIN,32.0,1000.0,1000.0,10.0,7000.0
5fe9f651db050d1230c47e44,Tournée 14,2021-01-03 04:43:43.772000+00:00,2021-01-03 04:47:33.226000+00:00,2021-01-03 13:53:45.285000+00:00,229454.0,32772059.0,COMPLETED,FC 471cy,350.0,RUNGIS MATIN,RUNGIS MATIN,2021-01-03 06:08:48.858000+00:00,2021-01-03 11:38:11.981000+00:00,2021-01-03 00:00:00+00:00,5c863ec4eb514965760016ab,5c866ba6eb5149657601770e,2021-01-03,RUNGIS MATIN,30.0,10000.0,350.0,11.0,3500.0
